id,size,pos
CC_000,2,0
CC_001,7,1
CC_002,2,2
CC_003,2,3
CC_004,5,4
CC_005,2,5
CC_006,6,6
CC_007,10,7
CC_008,3,8
CC_009,3,9
CC_010,11,10
CC_011,2,11
CC_012,2,12
CC_013,32,13
CC_014,5,14
CC_015,4,15
CC_016,3,16
CC_017,6,17
CC_018,34,18
CC_019,2,19
CC_020,2,20
CC_021,16,21
CC_022,16,22
CC_023,6,23
CC_024,6,24
CC_025,2,25
CC_026,11,26
CC_027,21,27
CC_028,5,28
CC_029,3,29
CC_030,9,30
CC_031,3,31
CC_032,4,32
CC_033,14,33
CC_034,8,34
CC_035,14,35
CC_036,2,36
CC_037,32,37
CC_038,20,38
CC_039,2,39
CC_040,9,40
CC_041,10,41
CC_042,5,42
CC_043,2,43
CC_044,2,44
CC_045,19,45
CC_046,14,46
CC_047,2,47
CC_048,2,48
CC_049,6,49
CC_050,4,50
CC_051,3,51
CC_052,2,52
CC_053,3,53
CC_054,4,54
CC_055,4,55
CC_056,2,56
CC_057,4,57
CC_058,3,58
CC_059,2,59
CC_060,5,60
CC_061,2,61
CC_062,2,62
CC_063,4,63
CC_064,3,64
CC_065,6,65
CC_066,3,66
CC_067,4,67
CC_068,2,68
CC_069,2,69
CC_070,2,70
CC_071,3,71
CC_072,2,72
CC_073,32,73
CC_074,4,74
CC_075,2,75
CC_076,4,76
CC_077,4,77
CC_078,3,78
CC_079,4,79
CC_080,5,80
CC_081,3,81
CC_082,2,82
CC_083,10,83
CC_084,2,84
CC_085,8,85
CC_086,2,86
CC_087,10,87
CC_088,2,88
CC_089,4,89
CC_090,7,90
CC_091,3,91
CC_092,4,92
CC_093,3,93
CC_094,2,94
CC_095,19,95
CC_096,5,96
CC_097,2,97
CC_098,6,98
CC_099,4,99
CC_100,3,100
CC_101,2,101
CC_102,3,102
CC_103,2,103
CC_104,4,104
CC_105,2,105
CC_106,10,106
CC_107,2,107
CC_108,4,108
CC_109,4,109
CC_110,3,110
CC_111,2,111
CC_112,3,112
CC_113,3,113
CC_114,6,114
CC_115,3,115
CC_116,2,116
CC_117,5,117
CC_118,2,118
CC_119,3,119
CC_120,5,120
CC_121,9,121
CC_122,4,122
CC_123,2,123
CC_124,3,124
CC_125,2,125
CC_126,4,126
CC_127,3,127
CC_128,2,128
CC_129,2,129
CC_130,16,130
CC_131,2,131
CC_132,7,132
CC_133,3,133
CC_134,4,134
CC_135,2,135
CC_136,2,136
CC_137,2,137
CC_138,11,138
CC_139,4,139
CC_140,5,140
CC_141,2,141
CC_142,7,142
CC_143,2,143
CC_144,4,144
CC_145,3,145
CC_146,2,146
CC_147,2,147
CC_148,2,148
CC_149,9,149
CC_150,2,150
CC_151,2,151
CC_152,2,152
CC_153,9,153
CC_154,2,154
CC_155,2,155
CC_156,2,156
CC_157,2,157
CC_158,2,158
CC_159,2,159
CC_160,2,160
CC_161,2,161
CC_162,2,162
CC_163,2,163
CC_164,2,164
CC_165,3,165
CC_166,6,166
CC_167,2,167
CC_168,2,168
CC_169,2,169
CC_170,6,170
CC_171,2,171
CC_172,3,172
CC_173,24,173
CC_174,4,174
CC_175,3,175
CC_176,5,176
CC_177,2,177
CC_178,25,178
CC_179,2,179
CC_180,8,180
CC_181,4,181
CC_182,2,182
CC_183,2,183
CC_184,21,184
CC_185,2,185
CC_186,4,186
CC_187,5,187
CC_188,2,188
CC_189,6,189
CC_190,2,190
CC_191,2,191
CC_192,2,192
CC_193,4,193
CC_194,12,194
CC_195,3,195
CC_196,3,196
CC_197,8,197
CC_198,2,198
CC_199,6,199
CC_200,9,200
CC_201,3,201
CC_202,3,202
CC_203,3,203
CC_204,4,204
CC_205,3,205
CC_206,3,206
CC_207,3,207
CC_208,2,208
CC_209,6,209
CC_210,2,210
CC_211,2,211
CC_212,2,212
CC_213,3,213
CC_214,3,214
CC_215,3,215
CC_216,3,216
CC_217,14,217
CC_218,2,218
CC_219,4,219
CC_220,2,220
CC_221,3,221
CC_222,2,222
CC_223,2,223
CC_224,3,224
CC_225,4,225
CC_226,6,226
CC_227,2,227
CC_228,3,228
CC_229,2,229
CC_230,9,230
CC_231,4,231
CC_232,4,232
CC_233,2,233
CC_234,6,234
CC_235,13,235
CC_236,2,236
CC_237,2,237
CC_238,4,238
CC_239,7,239
CC_240,2,240
CC_241,2,241
CC_242,2,242
CC_243,3,243
CC_244,2,244
CC_245,2,245
CC_246,4,246
CC_247,4,247
CC_248,2,248
CC_249,2,249
CC_250,2,250
CC_251,2,251
CC_252,2,252
CC_253,3,253
CC_254,2,254
CC_255,3,255
CC_256,2,256
CC_257,2,257
CC_258,3,258
CC_259,3,259
CC_260,2,260
CC_261,2,261
CC_262,2,262
CC_263,2,263
CC_264,2,264
CC_265,2,265
CC_266,2,266
CC_267,2,267
