"","Bee_type","Host","N","abund","sd","se","ci"
"1","Bumble bee Total","Lactobacillus",9,10.4943677537378,9.94409117190602,3.31469705730201,7.64370512108751
"2","Bumble bee Total","Gilliamella",9,0,0,0,0
"3","Bumble bee Total","Bifidobacterium",9,0.947484691757644,2.02726838565216,0.675756128550721,1.55829642682752
"4","Bumble bee Total","Acinetobacter",9,0,0,0,0
"5","Bumble bee Total","Schmidhempelia",9,2.41836897221031,2.09583692375839,0.698612307919463,1.61100287096681
"6","Bumble bee Total","Bombilactobacillus",9,1.86937161086954,4.70304306356066,1.56768102118689,3.61507891753805
"7","Bumble bee Total","Other",9,0,0,0,0
"8","Bumble bee Total","Unassigned",9,84.2704069714247,11.3018611551262,3.76728705170872,8.68737951974142
"9","Bumble bee Virome","Lactobacillus",3,4.03773921751975,6.30761396287131,3.64170261940799,15.6689817163316
"10","Bumble bee Virome","Gilliamella",3,0,0,0,0
"11","Bumble bee Virome","Bifidobacterium",3,0,0,0,0
"12","Bumble bee Virome","Acinetobacter",3,0,0,0,0
"13","Bumble bee Virome","Schmidhempelia",3,0,0,0,0
"14","Bumble bee Virome","Bombilactobacillus",3,0,0,0,0
"15","Bumble bee Virome","Other",3,0,0,0,0
"16","Bumble bee Virome","Unassigned",3,95.9622607824802,6.30761396287132,3.641702619408,15.6689817163316
"17","Honey bee Total","Lactobacillus",9,29.9293530131721,20.4746597630243,6.82488658767476,15.7382166934775
"18","Honey bee Total","Gilliamella",9,28.5269150663663,21.1093929241672,7.03646430805572,16.226115791593
"19","Honey bee Total","Bifidobacterium",9,6.1785161239001,5.82954255202998,1.94318085067666,4.48098307710993
"20","Honey bee Total","Acinetobacter",9,1.68490243307122,4.36128598841976,1.45376199613992,3.35238117470132
"21","Honey bee Total","Schmidhempelia",9,0,0,0,0
"22","Honey bee Total","Bombilactobacillus",9,0,0,0,0
"23","Honey bee Total","Other",9,0,0,0,0
"24","Honey bee Total","Unassigned",9,33.6803133634903,14.936641758187,4.97888058606234,11.4813192201475
"25","Honey bee Virome","Lactobacillus",3,21.01860695296,4.32522471299307,2.49716965235217,10.7444538213406
"26","Honey bee Virome","Gilliamella",3,6.62942554714787,2.32751692607476,1.34379252381267,5.78187257079952
"27","Honey bee Virome","Bifidobacterium",3,24.294064051283,7.35531554904985,4.24659341221857,18.2716167372183
"28","Honey bee Virome","Acinetobacter",3,4.59620399847498,7.37555917534455,4.25828107530919,18.3219046927195
"29","Honey bee Virome","Schmidhempelia",3,0,0,0,0
"30","Honey bee Virome","Bombilactobacillus",3,0.106920138029604,0.0485370804737546,0.0280228964772007,0.120572792023114
"31","Honey bee Virome","Other",3,4.38888309101665,5.65633490171509,3.26568647813188,14.05111483964
"32","Honey bee Virome","Unassigned",3,38.9658962210879,11.7754050374158,6.7985332681689,29.2517277245795
